RobustOnly,Land,Kod,Parti,Partikod,År,Rile,Status,EU,Dubious,Regering,Support,G,Seats,Rseats,MM,Cseats,Cperseats,NameC,PositionC,PMseats,WW,NamePM,PositionPM,C,LargForm,SS,cult,econ,cultPM,econPM,RR,PP,EE,NN,SET,M,S,W,RRsc,RRse,R,PPsc,PPse,P,E,N,T
0,Norge,W,SV,SV1997b,1997,Left,Party,NA,0,0,0,0,165,9,5.45,65,39.39,Ap,L,65,39.39,DNA,L,1,F,-2.43,-0.323647108,-1.465571663,0.097140189,0.17507039,-1.465571663,-1.640642053,24,4.36,1,0.545,0,0,1,0.383831062,0.383831062,0.260409379,0.67839504,0.67839504,1,0.628,0
0,Norge,W,SV,SV2001,2001,Left,Party,NA,0,0,0,0,165,23,13.94,43,26.06,Ap,L,22,13.33,KrF,R,0,F,8.49,0.146650192,-3.93255222,1.348346621,0.545970292,-3.93255222,-4.478522513,28,5.35,1,1,1,1,1,0,0,0,0,0,1,0.43,0
0,Norge,W,SV,SV2005,2005,Left,Party,NA,0,1,0,1,169,15,8.88,61,36.09,Ap,L,61,36.09,Ap,L,1,F,-5.06,-0.688184598,-1.672064675,0.212592249,-0.636216591,-1.672064675,-1.035848084,32,4.56,1,0.888,0,0,1,0.289970602,0.289970602,0.520440702,0.84454723,0.84454723,1,0.588,0
0,Norge,W,SV,SV2009,2009,Left,Party,NA,0,1,0,1,169,11,6.51,64,37.87,Ap,L,64,37.87,Ap,L,1,F,-2.37,-1.061053619,-1.779397387,-0.14388236,0.132612728,-1.779397387,-1.912010114,36,4.07,1,0.651,0,0,1,0.241183006,0.241183006,0.144440122,0.603843375,0.603843375,1,0.686,0
0,Grekland,W,SYN,SYN1990,1990,Left,Coalition,1981,0,0,0,0,300,19,6.33,123,41,PASOK,L,150,50,ND,R,0,F,-0.67,1.09854116,-0.329380611,3.610951426,0.646630455,-0.329380611,-0.976011066,1,2.37,1,0.633,0.166666667,0,1,0.879577323,0.879577323,0.548143025,0.860985971,0.860985971,0,1,0
0,Grekland,W,SYN,SYN1996,1996,Left,Party,1981,0,0,0,0,300,11,3.67,162,54,PASOK,L,162,54,PASOK,L,1,F,0,-1.098845595,-1.945824431,2.167053467,0.047355335,-1.945824431,-1.993179766,0,2.36,1,0.234,0.501246883,0,1,0.16553435,0.16553435,0.109752237,0.58154402,0.58154402,0,1,0
0,Grekland,W,SYN,SYN2000,2000,Left,Party,1981,0,0,0,0,300,6,2,158,52.67,PASOK,L,158,52.67,PASOK,L,1,F,-1.67,-2.312134341,-0.803232922,0.852403864,-0.131831105,-0.803232922,-0.671401817,4,2.21,1,0,0,0,1,0.675330637,0.675330637,0.689165825,0.94466983,0.94466983,0,1,0
0,Grekland,W,SYRIZA,SYRIZA2004,2004,Left,Party,1981,0,0,0,0,300,6,2,116,38.67,PASOK,L,166,55.33,ND,R,0,F,0,-2.708050201,-2.944438979,2.688108337,1.105436463,-2.944438979,-4.049875443,0,2.19,1,0,0.501246883,0,1,0,0,0,0,0,0,1,0
0,Grekland,W,SYRIZA,SYRIZA2007,2007,Left,Party,1981,0,0,0,0,300,14,4.67,102,34,PASOK,L,152,50.67,ND,R,0,F,2.67,-1.609565904,-1.945887292,3.434049138,1.745767737,-1.945887292,-3.691655029,3,2.62,1,0.434,0.834164589,0,1,0.165505776,0.165505776,0,0.035875818,0.035875818,0,0.976,0
0,Grekland,W,SYRIZA,SYRIZA2009,2009,Left,Party,1981,0,0,0,0,300,13,4.33,160,53.33,PASOK,L,160,53.33,PASOK,L,1,F,-0.34,-1.945567233,-1.609117861,-0.25463339,-1.18827338,-1.609117861,-0.420844481,5,2.59,1,0.366,0.333333333,0,1,0.31858279,0.31858279,0.805164592,1,1,0.125,0.982,0
0,Grekland,W,SYRIZA,SYRIZA2012IIa,2012,Left,Party,1981,0,0,0,0,300,71,23.67,33,11,PASOK,L,129,43,ND,R,0,F,6.34,2.613149111,-0.475334367,1.609357909,2.662522714,-0.475334367,-3.13785708,8,3.76,1,0,1,0,0.475619674,0.816666221,0.816666221,0,0.219252623,0.219252623,0.5,0.748,0
0,Grekland,W,SYRIZA,SYRIZA2012IIb,2012,Left,Party,1981,0,0,0,0,300,71,23.67,33,11,PASOK,L,129,43,ND,R,0,F,6.34,2.613149111,-0.475334367,1.609357909,2.662522714,-0.475334367,-3.13785708,8,3.76,1,0,1,0,0.475619674,0.816666221,0.816666221,0,0.219252623,0.219252623,0.5,0.748,0
0,Lettland,C,TB/LNNK,TB/LNNK1998a,1998,Right,Party,2004,1,1,0,1,100,17,17,21,21,LC,R,21,21,LC,R,1,F,3,1.994047456,0.504782122,1.67700811,0.557206292,1.994047456,-0.317039346,5,5.49,1,0.8,0.875311721,1,0.804275561,1,0.804275561,0.853222525,1,0.853222525,0.125,0.402,0
0,Lettland,C,TB/LNNK,TB/LNNK1998b,1998,Right,Party,2004,1,1,0,1,100,17,17,21,21,LC,R,24,24,TP,R,1,F,3,1.994047456,0.504782122,2.072294656,0,1.994047456,0,5,5.49,1,0.8,0.875311721,1,0.804275561,1,0.804275561,1,1,1,0.125,0.402,0
0,Lettland,C,TB/LNNK,TB/LNNK1998c,1998,Right,Party,2004,1,1,0,1,100,17,17,21,21,LC,R,21,21,LC,R,1,F,3,1.994047456,0.504782122,1.67700811,0.557206292,1.994047456,-0.317039346,5,5.49,1,0.8,0.875311721,1,0.804275561,1,0.804275561,0.853222525,1,0.853222525,0.125,0.402,0
0,Lettland,C,TB/LNNK,TB/LNNK2002a,2002,Right,Party,2004,1,0,0,0,100,7,7,26,26,JL,R,26,26,JL,R,1,F,-10,1.421351198,2.19716902,2.944450558,1.945984432,1.421351198,0,9,5.02,1,0.7,0,0.9,1,1,1,1,1,1,0.625,0.496,0
0,Lettland,C,TB/LNNK,TB/LNNK2002b,2002,Right,Party,2004,1,0,0,0,100,7,7,26,26,JL,R,12,12,ZZS,R,1,F,-10,1.421351198,2.19716902,1.945941577,0.587879108,1.421351198,0,9,5.02,1,0.7,0,1,1,1,1,1,1,1,0.625,0.496,0
0,Lettland,C,TB/LNNK,TB/LNNK2002c,2002,Right,Party,2004,1,0,0,0,100,7,7,26,26,JL,R,20,20,TP,R,1,F,-10,1.421351198,2.19716902,2.197269021,1.299113295,1.421351198,0,9,5.02,1,0.7,0,1,1,1,1,1,1,1,0.625,0.496,0
0,Lettland,C,TB/LNNK,TB/LNNK2002d,2002,Right,Party,2004,1,1,0,1,100,7,7,26,26,JL,R,20,20,TP,R,1,F,-10,1.421351198,2.19716902,2.197269021,1.299113295,1.421351198,0,9,5.02,1,0.7,0,1,1,1,1,1,1,1,0.625,0.496,0
0,Lettland,C,TB/LNNK,TB/LNNK2006a,2006,Right,Party,2004,1,1,0,1,100,8,8,23,23,TP,R,23,23,TP,R,1,F,1,3.295829459,0.8471731,1.945875863,0,3.295829459,-1.349953596,13,6,1,0.8,0.625935162,1,0.162463551,1,0.162463551,0.384635215,0.758254507,0.384635215,1,0.3,1
0,Lettland,C,TB/LNNK,TB/LNNK2006b,2006,Right,Party,2004,1,1,0,1,100,8,8,23,23,TP,R,10,10,LPP,R,1,F,1,3.295829459,0.8471731,1.845631624,0.33656652,3.295829459,-1.450197835,13,6,1,0.8,0.625935162,1,0.162463551,1,0.162463551,0.341795797,0.73071488,0.341795797,1,0.3,1
0,Lettland,C,TB/LNNK,TB/LNNK2006c,2006,Right,Party,2004,1,1,0,1,100,5,5,23,23,TP,R,14,14,JL,R,1,F,1,3.295829459,0.8471731,3.496523925,0.587784443,3.295829459,0,13,6,1,0.51,0.625935162,1,0.162463551,1,0.162463551,1,1,1,1,0.3,0
0,Lettland,C,TB/LNNK,TB/LNNK2006d,2006,Right,Party,2004,1,1,0,1,100,5,5,23,23,TP,R,14,14,JL,R,1,F,1,3.295829459,0.8471731,3.496523925,0.587784443,3.295829459,0,13,6,1,0.51,0.625935162,1,0.162463551,1,0.162463551,1,1,1,1,0.3,0
0,Lettland,C,TB,TB1993a,1993,Right,Party,2004,1,0,0,0,100,6,6,36,36,LC,R,36,36,LC,R,1,F,0,2.197209022,0,1.097972084,2.042101067,2.197209022,-1.099236938,0,5.05,1,0.6,0.501246883,0,0.695048913,1,0.695048913,0.491779086,0.827132709,0.491779086,0,0.49,0
0,Lettland,C,TB,TB1993b,1993,Right,Party,2004,1,0,0,0,100,6,6,36,36,LC,R,36,36,LC,R,1,F,0,2.197209022,0,1.097972084,2.042101067,2.197209022,-1.099236938,0,5.05,1,0.6,0.501246883,0,0.695048913,1,0.695048913,0.491779086,0.827132709,0.491779086,0,0.49,0
0,Lettland,C,TB,TB1995a,1995,Right,Party,2004,1,1,0,1,100,14,14,17,17,LC,R,18,18,DPS,L,0,L,8,2.708052868,0.747141889,2.397902545,0.955659768,2.708052868,-0.310150322,2,7.59,1,1,1,1,0.43208584,1,0.43208584,0.856411888,1,0.856411888,0,0,0
0,Lettland,C,TB,TB1995b,1995,Right,Party,2004,1,1,0,1,100,18,18,18,18,TB,R,18,18,DPS,L,0,L,8,2.708052868,0.747141889,2.397902545,0.955659768,2.708052868,-0.310150322,2,7.59,1,0.7,1,1,0.43208584,1,0.43208584,0.856411888,1,0.856411888,0,0,0
0,Bulgarien,C,UnitedPatriots,UnitedPatriots2017,2017,Right,Coalition,2007,0,1,0,1,240,27,11.25,95,39.58,GERB,R,95,39.58,GERB,R,1,F,0,2.151709741,1.299215713,3.434352234,1.206541021,2.151709741,0,0,3.39,1,1,0.501246883,0,0.719510892,1,0.719510892,1,1,1,0,0.822,1
0,Sverige,W,V,V1991,1991,Left,Party,1994,0,0,0,0,349,16,4.58,138,39.54,S,L,80,22.92,M,R,0,F,-1.44,-1.945944434,-2.56498628,2.322069006,4.828323977,-2.56498628,-7.393310257,47,4.19,1,0.416,0,1,1,0,0,0,0,0,1,0.662,0
0,Sverige,W,V,V1994,1994,Left,Party,1994,0,0,0,0,349,22,6.3,161,46.13,S,L,161,46.13,S,L,1,F,1.72,0,-1.212967603,1.299814071,4.465918234,-1.212967603,-5.678885837,50,3.5,1,0.63,0.715710723,0,1,0.49865109,0.49865109,0,0,0,1,0.8,0
0,Sverige,W,V,V1998,1998,Left,Party,1994,0,0,1,0.6,349,43,12.32,131,37.54,S,L,131,37.54,S,L,1,F,6.02,0,-2.007826772,2.398302463,4.31747958,-2.007826772,-6.325306352,54,4.29,1,1,1,0,1,0.137351467,0.137351467,0,0,0,1,0.642,0
0,Sverige,W,V,V2002,2002,Left,Party,1994,0,0,1,0.6,349,30,8.6,144,41.26,S,L,144,41.26,S,L,1,F,-3.72,-2.267925709,-2.398561304,1.04582548,2.457422008,-2.398561304,-4.855983311,58,4.23,1,0.86,0,0,1,0,0,0,0,0,1,0.654,0
0,Sverige,W,V,V2006,2006,Left,Party,1994,0,0,0,0,349,22,6.3,130,37.25,S,L,97,27.79,M,R,0,F,-2.3,-0.601017688,-3.135713196,1.187862957,1.675913008,-3.135713196,-4.811626204,62,4.15,1,0.63,0,0.721,1,0,0,0,0,0,1,0.67,0
0,Sverige,W,V,V2010,2010,Left,Party,1994,0,0,0,0,349,19,5.44,112,32.09,S,L,107,30.66,M,R,0,F,-0.86,-0.336515638,-2.397662518,0.986008536,2.598036964,-2.397662518,-4.995699482,66,4.54,1,0.544,0.070707071,0.434,1,0,0,0,0,0,1,0.592,0
